"Tendencias","Volumen de búsquedas","Inició","Finalizada","Desglose de tendencias","Vínculo para explorar"
"roma - napoli","2 K+","30 de noviembre de 2025 a las 4:00:00 p.m. UTC-3","30 de noviembre de 2025 a las 9:40:00 p.m. UTC-3","roma - napoli,roma vs napoli","https://trends.google.com/trends/explore?q=roma%20-%20napoli&geo=CL&hl=es-419"
"fortaleza - atlético mineiro","2 K+","30 de noviembre de 2025 a las 5:50:00 p.m. UTC-3","1 de diciembre de 2025 a las 6:50:00 a.m. UTC-3","fortaleza - atlético mineiro,fortaleza","https://trends.google.com/trends/explore?q=fortaleza%20-%20atl%C3%A9tico%20mineiro&geo=CL&hl=es-419"
"marcelo lagos","2 K+","29 de noviembre de 2025 a las 2:30:00 a.m. UTC-3","29 de noviembre de 2025 a las 4:00:00 p.m. UTC-3","marcelo lagos","https://trends.google.com/trends/explore?q=marcelo%20lagos&geo=CL&hl=es-419"
"manchester city","2 K+","2 de diciembre de 2025 a las 6:00:00 p.m. UTC-3","2 de diciembre de 2025 a las 7:30:00 p.m. UTC-3","manchester city,manchester city vs,city vs","https://trends.google.com/trends/explore?q=manchester%20city&geo=CL&hl=es-419"
"jean paul olhaberry","2 K+","29 de noviembre de 2025 a las 11:30:00 p.m. UTC-3","30 de noviembre de 2025 a las 1:10:00 p.m. UTC-3","jean paul olhaberry","https://trends.google.com/trends/explore?q=jean%20paul%20olhaberry&geo=CL&hl=es-419"
"fenerbahçe - galatasaray","2 K+","1 de diciembre de 2025 a las 1:20:00 p.m. UTC-3","1 de diciembre de 2025 a las 6:00:00 p.m. UTC-3","fenerbahçe - galatasaray","https://trends.google.com/trends/explore?q=fenerbah%C3%A7e%20-%20galatasaray&geo=CL&hl=es-419"
"juventus - cagliari","2 K+","29 de noviembre de 2025 a las 1:10:00 p.m. UTC-3","29 de noviembre de 2025 a las 6:50:00 p.m. UTC-3","juventus - cagliari,juventus","https://trends.google.com/trends/explore?q=juventus%20-%20cagliari&geo=CL&hl=es-419"
"ironman valdivia","2 K+","30 de noviembre de 2025 a las 8:00:00 a.m. UTC-3","30 de noviembre de 2025 a las 9:20:00 p.m. UTC-3","ironman valdivia,barbara riveros,ironman 70.3,diego moya","https://trends.google.com/trends/explore?q=ironman%20valdivia&geo=CL&hl=es-419"
"wwe survivor series 2025","2 K+","29 de noviembre de 2025 a las 5:00:00 p.m. UTC-3","30 de noviembre de 2025 a las 8:00:00 a.m. UTC-3","wwe survivor series 2025,survivor series 2025","https://trends.google.com/trends/explore?q=wwe%20survivor%20series%202025&geo=CL&hl=es-419"
"daniela garcia","2 K+","29 de noviembre de 2025 a las 3:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 10:30:00 a.m. UTC-3","daniela garcia,daniela garcia teleton 2003,daniela garcía teletón","https://trends.google.com/trends/explore?q=daniela%20garcia&geo=CL&hl=es-419"
"aston villa - wolves","2 K+","30 de noviembre de 2025 a las 10:30:00 a.m. UTC-3","30 de noviembre de 2025 a las 3:30:00 p.m. UTC-3","aston villa - wolves,aston villa","https://trends.google.com/trends/explore?q=aston%20villa%20-%20wolves&geo=CL&hl=es-419"
"corinthians - botafogo","2 K+","30 de noviembre de 2025 a las 3:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 8:30:00 p.m. UTC-3","corinthians - botafogo,brasileirao","https://trends.google.com/trends/explore?q=corinthians%20-%20botafogo&geo=CL&hl=es-419"
"celta de vigo - rcd espanyol","2 K+","30 de noviembre de 2025 a las 1:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 6:30:00 p.m. UTC-3","celta de vigo - rcd espanyol,celta de vigo","https://trends.google.com/trends/explore?q=celta%20de%20vigo%20-%20rcd%20espanyol&geo=CL&hl=es-419"
"fc barcelona","2 K+","2 de diciembre de 2025 a las 5:30:00 p.m. UTC-3","2 de diciembre de 2025 a las 7:50:00 p.m. UTC-3","fc barcelona,barcelona fc","https://trends.google.com/trends/explore?q=fc%20barcelona&geo=CL&hl=es-419"
"levante - athletic","2 K+","29 de noviembre de 2025 a las 1:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:10:00 p.m. UTC-3","levante - athletic","https://trends.google.com/trends/explore?q=levante%20-%20athletic&geo=CL&hl=es-419"
"girona vs real madrid","2 K+","30 de noviembre de 2025 a las 4:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 9:50:00 p.m. UTC-3","girona vs real madrid,girona vs. real madrid,real madrid vs girona,la liga","https://trends.google.com/trends/explore?q=girona%20vs%20real%20madrid&geo=CL&hl=es-419"
"ac milan","2 K+","4 de diciembre de 2025 a las 5:40:00 p.m. UTC-3","4 de diciembre de 2025 a las 7:20:00 p.m. UTC-3","ac milan,milan,lazio vs milan,milan vs lazio","https://trends.google.com/trends/explore?q=ac%20milan&geo=CL&hl=es-419"
"city","2 K+","2 de diciembre de 2025 a las 5:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 7:30:00 p.m. UTC-3","city,man city,fulham,fulham vs man city,fulham vs manchester city","https://trends.google.com/trends/explore?q=city&geo=CL&hl=es-419"
"r.c.d. mallorca - osasuna","2 K+","29 de noviembre de 2025 a las 9:10:00 a.m. UTC-3","29 de noviembre de 2025 a las 2:20:00 p.m. UTC-3","r.c.d. mallorca - osasuna,mallorca fc","https://trends.google.com/trends/explore?q=r.c.d.%20mallorca%20-%20osasuna&geo=CL&hl=es-419"
"nottingham forest - brighton","2 K+","30 de noviembre de 2025 a las 11:00:00 a.m. UTC-3","30 de noviembre de 2025 a las 3:20:00 p.m. UTC-3","nottingham forest - brighton,nottingham forest,brighton","https://trends.google.com/trends/explore?q=nottingham%20forest%20-%20brighton&geo=CL&hl=es-419"
"nico ruiz","2 K+","29 de noviembre de 2025 a las 1:20:00 a.m. UTC-3","30 de noviembre de 2025 a las 12:30:00 a.m. UTC-3","nico ruiz","https://trends.google.com/trends/explore?q=nico%20ruiz&geo=CL&hl=es-419"
"sunderland afc - bournemouth","2 K+","29 de noviembre de 2025 a las 11:30:00 a.m. UTC-3","29 de noviembre de 2025 a las 4:20:00 p.m. UTC-3","sunderland afc - bournemouth,sunderland","https://trends.google.com/trends/explore?q=sunderland%20afc%20-%20bournemouth&geo=CL&hl=es-419"
"everton","2 K+","30 de noviembre de 2025 a las 6:40:00 p.m. UTC-3","30 de noviembre de 2025 a las 9:10:00 p.m. UTC-3","everton","https://trends.google.com/trends/explore?q=everton&geo=CL&hl=es-419"
"felipe parra","2 K+","29 de noviembre de 2025 a las 1:10:00 a.m. UTC-3","29 de noviembre de 2025 a las 11:50:00 a.m. UTC-3","felipe parra,julio césar rodríguez,sammis reyes","https://trends.google.com/trends/explore?q=felipe%20parra&geo=CL&hl=es-419"
"premier","2 K+","30 de noviembre de 2025 a las 11:30:00 a.m. UTC-3","30 de noviembre de 2025 a las 4:30:00 p.m. UTC-3","premier,liverpool vs","https://trends.google.com/trends/explore?q=premier&geo=CL&hl=es-419"
"zootopia 2","2 K+","29 de noviembre de 2025 a las 1:40:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:50:00 p.m. UTC-3","zootopia 2,disney,zootopia","https://trends.google.com/trends/explore?q=zootopia%202&geo=CL&hl=es-419"
"liga chilena","2 K+","30 de noviembre de 2025 a las 7:40:00 p.m. UTC-3","30 de noviembre de 2025 a las 9:20:00 p.m. UTC-3","liga chilena","https://trends.google.com/trends/explore?q=liga%20chilena&geo=CL&hl=es-419"
"eva gomez","2 K+","29 de noviembre de 2025 a las 6:00:00 p.m. UTC-3","30 de noviembre de 2025 a las 1:10:00 a.m. UTC-3","eva gomez","https://trends.google.com/trends/explore?q=eva%20gomez&geo=CL&hl=es-419"
"psg","2 K+","29 de noviembre de 2025 a las 1:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 4:00:00 p.m. UTC-3","psg","https://trends.google.com/trends/explore?q=psg&geo=CL&hl=es-419"
"cobresal vs","2 K+","1 de diciembre de 2025 a las 10:00:00 p.m. UTC-3","1 de diciembre de 2025 a las 11:30:00 p.m. UTC-3","cobresal vs,cobresal,liga de primera posiciones,posiciones de la liga","https://trends.google.com/trends/explore?q=cobresal%20vs&geo=CL&hl=es-419"
