"Tendencias","Volumen de búsquedas","Inició","Finalizada","Desglose de tendencias","Vínculo para explorar"
"barracas central - gimnasia","1 K+","1 de diciembre de 2025 a las 4:50:00 p.m. UTC-3","1 de diciembre de 2025 a las 8:30:00 p.m. UTC-3","barracas central - gimnasia,barracas central","https://trends.google.com/trends/explore?q=barracas%20central%20-%20gimnasia&geo=CL&hl=es-419"
"charles aránguiz","1 K+","2 de diciembre de 2025 a las 7:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 10:40:00 p.m. UTC-3","charles aránguiz,radio cooperativa en vivo","https://trends.google.com/trends/explore?q=charles%20ar%C3%A1nguiz&geo=CL&hl=es-419"
"airbus a320","1 K+","29 de noviembre de 2025 a las 7:30:00 a.m. UTC-3","29 de noviembre de 2025 a las 5:50:00 p.m. UTC-3","airbus a320","https://trends.google.com/trends/explore?q=airbus%20a320&geo=CL&hl=es-419"
"diana bolocco","1 K+","28 de noviembre de 2025 a las 10:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:10:00 a.m. UTC-3","diana bolocco","https://trends.google.com/trends/explore?q=diana%20bolocco&geo=CL&hl=es-419"
"formula 1 hoy","1 K+","30 de noviembre de 2025 a las 7:20:00 a.m. UTC-3","30 de noviembre de 2025 a las 4:00:00 p.m. UTC-3","formula 1 hoy","https://trends.google.com/trends/explore?q=formula%201%20hoy&geo=CL&hl=es-419"
"navidad","1 K+","1 de diciembre de 2025 a las 1:00:00 a.m. UTC-3","2 de diciembre de 2025 a las 9:30:00 a.m. UTC-3","navidad","https://trends.google.com/trends/explore?q=navidad&geo=CL&hl=es-419"
"scotiabank","1 K+","3 de diciembre de 2025 a las 5:00:00 p.m. UTC-3","3 de diciembre de 2025 a las 6:30:00 p.m. UTC-3","scotiabank","https://trends.google.com/trends/explore?q=scotiabank&geo=CL&hl=es-419"
"calendario diciembre 2025","1 K+","1 de diciembre de 2025 a las 8:00:00 a.m. UTC-3","1 de diciembre de 2025 a las 5:10:00 p.m. UTC-3","calendario diciembre 2025,feriados diciembre 2025,lunes 8 de diciembre es feriado","https://trends.google.com/trends/explore?q=calendario%20diciembre%202025&geo=CL&hl=es-419"
"amnistía","1 K+","2 de diciembre de 2025 a las 9:00:00 a.m. UTC-3","2 de diciembre de 2025 a las 3:10:00 p.m. UTC-3","amnistía,maduro,nicolás maduro venezuela","https://trends.google.com/trends/explore?q=amnist%C3%ADa&geo=CL&hl=es-419"
"metrogas","1 K+","1 de diciembre de 2025 a las 7:50:00 a.m. UTC-3","1 de diciembre de 2025 a las 6:10:00 p.m. UTC-3","metrogas","https://trends.google.com/trends/explore?q=metrogas&geo=CL&hl=es-419"
"cristian castro en chile","1 K+","28 de noviembre de 2025 a las 10:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 3:20:00 a.m. UTC-3","cristian castro en chile,neme","https://trends.google.com/trends/explore?q=cristian%20castro%20en%20chile&geo=CL&hl=es-419"
"incendio santiago","1 K+","30 de noviembre de 2025 a las 7:30:00 p.m. UTC-3","30 de noviembre de 2025 a las 11:00:00 p.m. UTC-3","incendio santiago","https://trends.google.com/trends/explore?q=incendio%20santiago&geo=CL&hl=es-419"
"shopify","1 K+","1 de diciembre de 2025 a las 12:10:00 p.m. UTC-3","1 de diciembre de 2025 a las 3:30:00 p.m. UTC-3","shopify","https://trends.google.com/trends/explore?q=shopify&geo=CL&hl=es-419"
"tarjeta roja","1 K+","2 de diciembre de 2025 a las 6:00:00 p.m. UTC-3","2 de diciembre de 2025 a las 7:40:00 p.m. UTC-3","tarjeta roja","https://trends.google.com/trends/explore?q=tarjeta%20roja&geo=CL&hl=es-419"
"ligue 1","1 K+","29 de noviembre de 2025 a las 2:40:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:50:00 p.m. UTC-3","ligue 1","https://trends.google.com/trends/explore?q=ligue%201&geo=CL&hl=es-419"
"nacional - benfica","1 K+","29 de noviembre de 2025 a las 3:00:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:00:00 p.m. UTC-3","nacional - benfica,benfica","https://trends.google.com/trends/explore?q=nacional%20-%20benfica&geo=CL&hl=es-419"
"f1 sprint","1 K+","29 de noviembre de 2025 a las 8:00:00 a.m. UTC-3","29 de noviembre de 2025 a las 3:00:00 p.m. UTC-3","f1 sprint,sprint f1,sprint qatar","https://trends.google.com/trends/explore?q=f1%20sprint&geo=CL&hl=es-419"
"incendio","1 K+","30 de noviembre de 2025 a las 7:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 10:30:00 p.m. UTC-3","incendio","https://trends.google.com/trends/explore?q=incendio&geo=CL&hl=es-419"
"atalanta - fiorentina","1 K+","30 de noviembre de 2025 a las 1:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 5:30:00 p.m. UTC-3","atalanta - fiorentina","https://trends.google.com/trends/explore?q=atalanta%20-%20fiorentina&geo=CL&hl=es-419"
"brentford - burnley","1 K+","29 de noviembre de 2025 a las 11:50:00 a.m. UTC-3","29 de noviembre de 2025 a las 3:50:00 p.m. UTC-3","brentford - burnley,brentford,brentford vs","https://trends.google.com/trends/explore?q=brentford%20-%20burnley&geo=CL&hl=es-419"
"katteyes","1 K+","29 de noviembre de 2025 a las 2:20:00 a.m. UTC-3","29 de noviembre de 2025 a las 11:00:00 a.m. UTC-3","katteyes","https://trends.google.com/trends/explore?q=katteyes&geo=CL&hl=es-419"
"cruz azul","1 K+","30 de noviembre de 2025 a las 10:00:00 p.m. UTC-3","1 de diciembre de 2025 a las 7:20:00 a.m. UTC-3","cruz azul,cruz azul vs,ramon fernandez","https://trends.google.com/trends/explore?q=cruz%20azul&geo=CL&hl=es-419"
"américa - monterrey","1 K+","29 de noviembre de 2025 a las 8:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:00:00 a.m. UTC-3","américa - monterrey","https://trends.google.com/trends/explore?q=am%C3%A9rica%20-%20monterrey&geo=CL&hl=es-419"
"fc barcelona","1 K+","29 de noviembre de 2025 a las 12:20:00 p.m. UTC-3","29 de noviembre de 2025 a las 3:00:00 p.m. UTC-3","fc barcelona","https://trends.google.com/trends/explore?q=fc%20barcelona&geo=CL&hl=es-419"
"ceará - cruzeiro","1 K+","29 de noviembre de 2025 a las 8:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:00:00 a.m. UTC-3","ceará - cruzeiro,cruzeiro","https://trends.google.com/trends/explore?q=cear%C3%A1%20-%20cruzeiro&geo=CL&hl=es-419"
"maria luisa godoy","1 K+","28 de noviembre de 2025 a las 11:10:00 p.m. UTC-3","29 de noviembre de 2025 a las 11:30:00 p.m. UTC-3","maria luisa godoy,carmen disa gutiérrez","https://trends.google.com/trends/explore?q=maria%20luisa%20godoy&geo=CL&hl=es-419"
"incendio melipilla","1 K+","30 de noviembre de 2025 a las 5:40:00 p.m. UTC-3","30 de noviembre de 2025 a las 9:00:00 p.m. UTC-3","incendio melipilla,incendio álamos de culiprán,incendio hoy","https://trends.google.com/trends/explore?q=incendio%20melipilla&geo=CL&hl=es-419"
"abu dhabi f1","1 K+","30 de noviembre de 2025 a las 2:30:00 p.m. UTC-3","30 de noviembre de 2025 a las 4:40:00 p.m. UTC-3","abu dhabi f1,f1 standings,lando norris","https://trends.google.com/trends/explore?q=abu%20dhabi%20f1&geo=CL&hl=es-419"
"bayern vs","1 K+","29 de noviembre de 2025 a las 11:50:00 a.m. UTC-3","29 de noviembre de 2025 a las 2:30:00 p.m. UTC-3","bayern vs,bayern munich vs","https://trends.google.com/trends/explore?q=bayern%20vs&geo=CL&hl=es-419"
"cher","1 K+","30 de noviembre de 2025 a las 11:20:00 p.m. UTC-3","1 de diciembre de 2025 a las 12:40:00 a.m. UTC-3","cher","https://trends.google.com/trends/explore?q=cher&geo=CL&hl=es-419"
"lucero cantante","1 K+","29 de noviembre de 2025 a las 11:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:40:00 a.m. UTC-3","lucero cantante,cantante lucero","https://trends.google.com/trends/explore?q=lucero%20cantante&geo=CL&hl=es-419"
"vitória - mirassol","1 K+","29 de noviembre de 2025 a las 4:10:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:10:00 p.m. UTC-3","vitória - mirassol,brasileirão serie a","https://trends.google.com/trends/explore?q=vit%C3%B3ria%20-%20mirassol&geo=CL&hl=es-419"
"danilo da silva","1 K+","29 de noviembre de 2025 a las 7:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 10:10:00 p.m. UTC-3","danilo da silva,danilo flamengo,giorgian de arrascaeta","https://trends.google.com/trends/explore?q=danilo%20da%20silva&geo=CL&hl=es-419"
"valentin trujillo","1 K+","29 de noviembre de 2025 a las 12:20:00 a.m. UTC-3","29 de noviembre de 2025 a las 1:30:00 a.m. UTC-3","valentin trujillo","https://trends.google.com/trends/explore?q=valentin%20trujillo&geo=CL&hl=es-419"
"city","1 K+","29 de noviembre de 2025 a las 1:40:00 p.m. UTC-3","29 de noviembre de 2025 a las 3:00:00 p.m. UTC-3","city,man city","https://trends.google.com/trends/explore?q=city&geo=CL&hl=es-419"
"mls","1 K+","29 de noviembre de 2025 a las 10:30:00 p.m. UTC-3","30 de noviembre de 2025 a las 8:30:00 a.m. UTC-3","mls","https://trends.google.com/trends/explore?q=mls&geo=CL&hl=es-419"
"disney plus","1 K+","29 de noviembre de 2025 a las 6:00:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:20:00 p.m. UTC-3","disney plus","https://trends.google.com/trends/explore?q=disney%20plus&geo=CL&hl=es-419"
"huachipato vs","500+","5 de diciembre de 2025 a las 8:40:00 p.m. UTC-3",,"huachipato vs","https://trends.google.com/trends/explore?q=huachipato%20vs&geo=CL&hl=es-419"
"frank gehry","500+","5 de diciembre de 2025 a las 6:20:00 p.m. UTC-3",,"frank gehry","https://trends.google.com/trends/explore?q=frank%20gehry&geo=CL&hl=es-419"
"vichuquen","500+","5 de diciembre de 2025 a las 9:30:00 p.m. UTC-3",,"vichuquen,lago vichuquen","https://trends.google.com/trends/explore?q=vichuquen&geo=CL&hl=es-419"
"reajuste sector publico","500+","5 de diciembre de 2025 a las 7:40:00 p.m. UTC-3",,"reajuste sector publico,reajuste sector público,reajuste sector público 2026","https://trends.google.com/trends/explore?q=reajuste%20sector%20publico&geo=CL&hl=es-419"
"curazao","500+","5 de diciembre de 2025 a las 3:50:00 p.m. UTC-3","5 de diciembre de 2025 a las 9:20:00 p.m. UTC-3","curazao","https://trends.google.com/trends/explore?q=curazao&geo=CL&hl=es-419"
"repechaje mundial 2026","500+","5 de diciembre de 2025 a las 3:40:00 p.m. UTC-3","5 de diciembre de 2025 a las 8:20:00 p.m. UTC-3","repechaje mundial 2026","https://trends.google.com/trends/explore?q=repechaje%20mundial%202026&geo=CL&hl=es-419"
"cary hiroyuki","500+","5 de diciembre de 2025 a las 7:10:00 a.m. UTC-3","5 de diciembre de 2025 a las 11:30:00 a.m. UTC-3","cary hiroyuki,cary-hiroyuki tagawa","https://trends.google.com/trends/explore?q=cary%20hiroyuki&geo=CL&hl=es-419"
"junior","500+","4 de diciembre de 2025 a las 10:20:00 p.m. UTC-3","5 de diciembre de 2025 a las 7:10:00 a.m. UTC-3","junior,junior vs","https://trends.google.com/trends/explore?q=junior&geo=CL&hl=es-419"
"camila andrade","500+","4 de diciembre de 2025 a las 11:00:00 p.m. UTC-3","5 de diciembre de 2025 a las 1:40:00 a.m. UTC-3","camila andrade","https://trends.google.com/trends/explore?q=camila%20andrade&geo=CL&hl=es-419"
"cruzeiro","500+","4 de diciembre de 2025 a las 7:30:00 p.m. UTC-3","4 de diciembre de 2025 a las 10:40:00 p.m. UTC-3","cruzeiro","https://trends.google.com/trends/explore?q=cruzeiro&geo=CL&hl=es-419"
"neymar","500+","3 de diciembre de 2025 a las 9:10:00 p.m. UTC-3","4 de diciembre de 2025 a las 9:50:00 a.m. UTC-3","neymar","https://trends.google.com/trends/explore?q=neymar&geo=CL&hl=es-419"
"bologna","500+","4 de diciembre de 2025 a las 2:20:00 p.m. UTC-3","4 de diciembre de 2025 a las 5:00:00 p.m. UTC-3","bologna","https://trends.google.com/trends/explore?q=bologna&geo=CL&hl=es-419"
"betano","500+","5 de diciembre de 2025 a las 5:50:00 a.m. UTC-3","5 de diciembre de 2025 a las 7:00:00 a.m. UTC-3","betano,aston villa vs,aston villa","https://trends.google.com/trends/explore?q=betano&geo=CL&hl=es-419"
"rosalia chile","500+","4 de diciembre de 2025 a las 10:40:00 a.m. UTC-3","4 de diciembre de 2025 a las 2:00:00 p.m. UTC-3","rosalia chile","https://trends.google.com/trends/explore?q=rosalia%20chile&geo=CL&hl=es-419"
"antonia larraín","500+","3 de diciembre de 2025 a las 10:10:00 p.m. UTC-3","4 de diciembre de 2025 a las 3:10:00 a.m. UTC-3","antonia larraín","https://trends.google.com/trends/explore?q=antonia%20larra%C3%ADn&geo=CL&hl=es-419"
"bologna vs","500+","4 de diciembre de 2025 a las 2:00:00 p.m. UTC-3","4 de diciembre de 2025 a las 5:00:00 p.m. UTC-3","bologna vs","https://trends.google.com/trends/explore?q=bologna%20vs&geo=CL&hl=es-419"
"quintanar del rey - elche c. f.","500+","3 de diciembre de 2025 a las 5:20:00 p.m. UTC-3","3 de diciembre de 2025 a las 9:10:00 p.m. UTC-3","quintanar del rey - elche c. f.","https://trends.google.com/trends/explore?q=quintanar%20del%20rey%20-%20elche%20c.%20f.&geo=CL&hl=es-419"
"bucaramanga - tolima","500+","3 de diciembre de 2025 a las 10:20:00 p.m. UTC-3","4 de diciembre de 2025 a las 6:50:00 a.m. UTC-3","bucaramanga - tolima","https://trends.google.com/trends/explore?q=bucaramanga%20-%20tolima&geo=CL&hl=es-419"
"cuando sale el spotify wrapped 2025","500+","2 de diciembre de 2025 a las 11:00:00 p.m. UTC-3","3 de diciembre de 2025 a las 10:50:00 a.m. UTC-3","cuando sale el spotify wrapped 2025","https://trends.google.com/trends/explore?q=cuando%20sale%20el%20spotify%20wrapped%202025&geo=CL&hl=es-419"
"nuggets - mavericks","500+","1 de diciembre de 2025 a las 11:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 8:50:00 a.m. UTC-3","nuggets - mavericks","https://trends.google.com/trends/explore?q=nuggets%20-%20mavericks&geo=CL&hl=es-419"
"alianza lima vs","500+","2 de diciembre de 2025 a las 10:00:00 p.m. UTC-3","3 de diciembre de 2025 a las 7:30:00 a.m. UTC-3","alianza lima vs,liga 1","https://trends.google.com/trends/explore?q=alianza%20lima%20vs&geo=CL&hl=es-419"
"jorge quiroz","500+","3 de diciembre de 2025 a las 9:40:00 a.m. UTC-3","4 de diciembre de 2025 a las 8:20:00 a.m. UTC-3","jorge quiroz","https://trends.google.com/trends/explore?q=jorge%20quiroz&geo=CL&hl=es-419"
"celtics - knicks","500+","2 de diciembre de 2025 a las 10:20:00 p.m. UTC-3","3 de diciembre de 2025 a las 7:50:00 a.m. UTC-3","celtics - knicks","https://trends.google.com/trends/explore?q=celtics%20-%20knicks&geo=CL&hl=es-419"
"liga de naciones femenina conmebol partidos","500+","2 de diciembre de 2025 a las 9:00:00 p.m. UTC-3","3 de diciembre de 2025 a las 2:10:00 a.m. UTC-3","liga de naciones femenina conmebol partidos","https://trends.google.com/trends/explore?q=liga%20de%20naciones%20femenina%20conmebol%20partidos&geo=CL&hl=es-419"
"cruz azul","500+","3 de diciembre de 2025 a las 10:30:00 p.m. UTC-3","4 de diciembre de 2025 a las 12:50:00 a.m. UTC-3","cruz azul,cruz azul - tigres,cruz azul vs","https://trends.google.com/trends/explore?q=cruz%20azul&geo=CL&hl=es-419"
"paes historia 2026","500+","3 de diciembre de 2025 a las 8:10:00 p.m. UTC-3","4 de diciembre de 2025 a las 12:00:00 a.m. UTC-3","paes historia 2026,paes historia,demre paes 2026","https://trends.google.com/trends/explore?q=paes%20historia%202026&geo=CL&hl=es-419"
"esquelas","500+","2 de diciembre de 2025 a las 2:50:00 p.m. UTC-3","3 de diciembre de 2025 a las 7:30:00 a.m. UTC-3","esquelas","https://trends.google.com/trends/explore?q=esquelas&geo=CL&hl=es-419"
"chayanne","500+","30 de noviembre de 2025 a las 10:10:00 p.m. UTC-3","1 de diciembre de 2025 a las 11:20:00 p.m. UTC-3","chayanne","https://trends.google.com/trends/explore?q=chayanne&geo=CL&hl=es-419"
"copa del rey","500+","2 de diciembre de 2025 a las 4:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 8:10:00 p.m. UTC-3","copa del rey","https://trends.google.com/trends/explore?q=copa%20del%20rey&geo=CL&hl=es-419"
"bologna vs","500+","1 de diciembre de 2025 a las 4:40:00 p.m. UTC-3","1 de diciembre de 2025 a las 8:00:00 p.m. UTC-3","bologna vs","https://trends.google.com/trends/explore?q=bologna%20vs&geo=CL&hl=es-419"
"bologna","500+","1 de diciembre de 2025 a las 4:40:00 p.m. UTC-3","1 de diciembre de 2025 a las 7:50:00 p.m. UTC-3","bologna","https://trends.google.com/trends/explore?q=bologna&geo=CL&hl=es-419"
"españa - alemania","500+","2 de diciembre de 2025 a las 2:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 5:20:00 p.m. UTC-3","españa - alemania","https://trends.google.com/trends/explore?q=espa%C3%B1a%20-%20alemania&geo=CL&hl=es-419"
"faloon larraguibel teleton","500+","2 de diciembre de 2025 a las 5:10:00 a.m. UTC-3","2 de diciembre de 2025 a las 11:40:00 a.m. UTC-3","faloon larraguibel teleton,faloon teleton","https://trends.google.com/trends/explore?q=faloon%20larraguibel%20teleton&geo=CL&hl=es-419"
"radio cooperativa","500+","3 de diciembre de 2025 a las 8:10:00 a.m. UTC-3","3 de diciembre de 2025 a las 9:30:00 a.m. UTC-3","radio cooperativa","https://trends.google.com/trends/explore?q=radio%20cooperativa&geo=CL&hl=es-419"
"twitch recap","500+","2 de diciembre de 2025 a las 2:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 4:50:00 p.m. UTC-3","twitch recap,twitch recap 2025","https://trends.google.com/trends/explore?q=twitch%20recap&geo=CL&hl=es-419"
"liga argentina","500+","2 de diciembre de 2025 a las 12:20:00 a.m. UTC-3","2 de diciembre de 2025 a las 7:50:00 a.m. UTC-3","liga argentina,futbol argentino","https://trends.google.com/trends/explore?q=liga%20argentina&geo=CL&hl=es-419"
"rayo vallecano","500+","1 de diciembre de 2025 a las 4:50:00 p.m. UTC-3","1 de diciembre de 2025 a las 8:00:00 p.m. UTC-3","rayo vallecano,rayo vallecano vs","https://trends.google.com/trends/explore?q=rayo%20vallecano&geo=CL&hl=es-419"
"kylian mbappé","500+","3 de diciembre de 2025 a las 4:30:00 p.m. UTC-3","3 de diciembre de 2025 a las 6:00:00 p.m. UTC-3","kylian mbappé,real vs","https://trends.google.com/trends/explore?q=kylian%20mbapp%C3%A9&geo=CL&hl=es-419"
"mi nombre es","500+","30 de noviembre de 2025 a las 11:50:00 p.m. UTC-3","1 de diciembre de 2025 a las 8:50:00 a.m. UTC-3","mi nombre es,lady gaga,mi nombre es 2","https://trends.google.com/trends/explore?q=mi%20nombre%20es&geo=CL&hl=es-419"
"parma - udinese","500+","29 de noviembre de 2025 a las 10:40:00 a.m. UTC-3","29 de noviembre de 2025 a las 2:50:00 p.m. UTC-3","parma - udinese","https://trends.google.com/trends/explore?q=parma%20-%20udinese&geo=CL&hl=es-419"
"tonka tomicic","500+","29 de noviembre de 2025 a las 2:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 2:30:00 a.m. UTC-3","tonka tomicic","https://trends.google.com/trends/explore?q=tonka%20tomicic&geo=CL&hl=es-419"
"le havre - losc","500+","30 de noviembre de 2025 a las 1:00:00 p.m. UTC-3","30 de noviembre de 2025 a las 4:40:00 p.m. UTC-3","le havre - losc","https://trends.google.com/trends/explore?q=le%20havre%20-%20losc&geo=CL&hl=es-419"
"mormon church","500+","2 de diciembre de 2025 a las 2:20:00 a.m. UTC-3","2 de diciembre de 2025 a las 4:40:00 a.m. UTC-3","mormon church","https://trends.google.com/trends/explore?q=mormon%20church&geo=CL&hl=es-419"
"psv - volendam","500+","30 de noviembre de 2025 a las 8:20:00 a.m. UTC-3","30 de noviembre de 2025 a las 1:50:00 p.m. UTC-3","psv - volendam,psv","https://trends.google.com/trends/explore?q=psv%20-%20volendam&geo=CL&hl=es-419"
"marsella vs","500+","29 de noviembre de 2025 a las 4:40:00 p.m. UTC-3","29 de noviembre de 2025 a las 8:20:00 p.m. UTC-3","marsella vs","https://trends.google.com/trends/explore?q=marsella%20vs&geo=CL&hl=es-419"
"timberwolves - celtics","500+","29 de noviembre de 2025 a las 7:10:00 p.m. UTC-3","29 de noviembre de 2025 a las 10:40:00 p.m. UTC-3","timberwolves - celtics","https://trends.google.com/trends/explore?q=timberwolves%20-%20celtics&geo=CL&hl=es-419"
"survivor series 2025 hora chile","500+","29 de noviembre de 2025 a las 5:30:00 p.m. UTC-3","29 de noviembre de 2025 a las 9:50:00 p.m. UTC-3","survivor series 2025 hora chile","https://trends.google.com/trends/explore?q=survivor%20series%202025%20hora%20chile&geo=CL&hl=es-419"
"midtjylland","500+","30 de noviembre de 2025 a las 12:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 3:20:00 p.m. UTC-3","midtjylland,superliga danesa","https://trends.google.com/trends/explore?q=midtjylland&geo=CL&hl=es-419"
"ajax","500+","30 de noviembre de 2025 a las 4:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 6:40:00 p.m. UTC-3","ajax,ajax - groningen","https://trends.google.com/trends/explore?q=ajax&geo=CL&hl=es-419"
"navalcarnero - getafe","500+","2 de diciembre de 2025 a las 7:00:00 p.m. UTC-3","2 de diciembre de 2025 a las 8:40:00 p.m. UTC-3","navalcarnero - getafe,getafe","https://trends.google.com/trends/explore?q=navalcarnero%20-%20getafe&geo=CL&hl=es-419"
"porto","500+","30 de noviembre de 2025 a las 5:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 9:30:00 p.m. UTC-3","porto,porto - estoril","https://trends.google.com/trends/explore?q=porto&geo=CL&hl=es-419"
"nuggets - spurs","500+","29 de noviembre de 2025 a las 12:00:00 a.m. UTC-3","29 de noviembre de 2025 a las 10:10:00 a.m. UTC-3","nuggets - spurs","https://trends.google.com/trends/explore?q=nuggets%20-%20spurs&geo=CL&hl=es-419"
"aston villa vs","500+","30 de noviembre de 2025 a las 11:00:00 a.m. UTC-3","30 de noviembre de 2025 a las 2:10:00 p.m. UTC-3","aston villa vs","https://trends.google.com/trends/explore?q=aston%20villa%20vs&geo=CL&hl=es-419"
"fortaleza - bucaramanga","500+","29 de noviembre de 2025 a las 10:00:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:50:00 a.m. UTC-3","fortaleza - bucaramanga","https://trends.google.com/trends/explore?q=fortaleza%20-%20bucaramanga&geo=CL&hl=es-419"
"puntos f1","500+","30 de noviembre de 2025 a las 2:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 4:30:00 p.m. UTC-3","puntos f1,f1 puntos","https://trends.google.com/trends/explore?q=puntos%20f1&geo=CL&hl=es-419"
"partidazo de youtubers","500+","29 de noviembre de 2025 a las 4:00:00 p.m. UTC-3","29 de noviembre de 2025 a las 7:00:00 p.m. UTC-3","partidazo de youtubers,partidazo de youtubers 6,hora españa","https://trends.google.com/trends/explore?q=partidazo%20de%20youtubers&geo=CL&hl=es-419"
"stephanie vaquer","500+","29 de noviembre de 2025 a las 10:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 2:10:00 a.m. UTC-3","stephanie vaquer","https://trends.google.com/trends/explore?q=stephanie%20vaquer&geo=CL&hl=es-419"
"barcelona hoy","500+","29 de noviembre de 2025 a las 12:40:00 p.m. UTC-3","29 de noviembre de 2025 a las 3:30:00 p.m. UTC-3","barcelona hoy","https://trends.google.com/trends/explore?q=barcelona%20hoy&geo=CL&hl=es-419"
"lamine yamal","500+","29 de noviembre de 2025 a las 12:30:00 p.m. UTC-3","29 de noviembre de 2025 a las 4:50:00 p.m. UTC-3","lamine yamal","https://trends.google.com/trends/explore?q=lamine%20yamal&geo=CL&hl=es-419"
"napoli vs","500+","30 de noviembre de 2025 a las 5:20:00 p.m. UTC-3","30 de noviembre de 2025 a las 7:10:00 p.m. UTC-3","napoli vs,roma fc,roma vs","https://trends.google.com/trends/explore?q=napoli%20vs&geo=CL&hl=es-419"
"lecce - torino","500+","30 de noviembre de 2025 a las 9:10:00 a.m. UTC-3","30 de noviembre de 2025 a las 11:50:00 a.m. UTC-3","lecce - torino","https://trends.google.com/trends/explore?q=lecce%20-%20torino&geo=CL&hl=es-419"
"libertad fc - barcelona sc","500+","29 de noviembre de 2025 a las 9:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:10:00 a.m. UTC-3","libertad fc - barcelona sc","https://trends.google.com/trends/explore?q=libertad%20fc%20-%20barcelona%20sc&geo=CL&hl=es-419"
"middlesbrough - derby county","500+","29 de noviembre de 2025 a las 12:00:00 p.m. UTC-3","29 de noviembre de 2025 a las 2:50:00 p.m. UTC-3","middlesbrough - derby county","https://trends.google.com/trends/explore?q=middlesbrough%20-%20derby%20county&geo=CL&hl=es-419"
"hbo max","500+","2 de diciembre de 2025 a las 6:00:00 p.m. UTC-3","2 de diciembre de 2025 a las 7:00:00 p.m. UTC-3","hbo max","https://trends.google.com/trends/explore?q=hbo%20max&geo=CL&hl=es-419"
"karla constant","500+","30 de noviembre de 2025 a las 12:00:00 a.m. UTC-3","30 de noviembre de 2025 a las 2:00:00 a.m. UTC-3","karla constant","https://trends.google.com/trends/explore?q=karla%20constant&geo=CL&hl=es-419"
"tony germano","500+","30 de noviembre de 2025 a las 11:30:00 p.m. UTC-3","1 de diciembre de 2025 a las 8:50:00 a.m. UTC-3","tony germano","https://trends.google.com/trends/explore?q=tony%20germano&geo=CL&hl=es-419"
"f1 clasificacion","500+","30 de noviembre de 2025 a las 2:30:00 p.m. UTC-3","30 de noviembre de 2025 a las 4:40:00 p.m. UTC-3","f1 clasificacion,f1 horario","https://trends.google.com/trends/explore?q=f1%20clasificacion&geo=CL&hl=es-419"
"luis miguel","500+","28 de noviembre de 2025 a las 10:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 1:10:00 a.m. UTC-3","luis miguel","https://trends.google.com/trends/explore?q=luis%20miguel&geo=CL&hl=es-419"
"migrantes frontera chile peru","500+","29 de noviembre de 2025 a las 3:40:00 p.m. UTC-3","30 de noviembre de 2025 a las 8:30:00 a.m. UTC-3","migrantes frontera chile peru,radio adn","https://trends.google.com/trends/explore?q=migrantes%20frontera%20chile%20peru&geo=CL&hl=es-419"
"daniela castillo","500+","29 de noviembre de 2025 a las 7:20:00 p.m. UTC-3","29 de noviembre de 2025 a las 8:40:00 p.m. UTC-3","daniela castillo","https://trends.google.com/trends/explore?q=daniela%20castillo&geo=CL&hl=es-419"
"tolima - santa fe","500+","29 de noviembre de 2025 a las 8:00:00 p.m. UTC-3","29 de noviembre de 2025 a las 10:30:00 p.m. UTC-3","tolima - santa fe","https://trends.google.com/trends/explore?q=tolima%20-%20santa%20fe&geo=CL&hl=es-419"
"evento fortnite chile","500+","29 de noviembre de 2025 a las 1:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 4:10:00 p.m. UTC-3","evento fortnite chile,fortnite teleton 2025","https://trends.google.com/trends/explore?q=evento%20fortnite%20chile&geo=CL&hl=es-419"
"bruce willis","500+","29 de noviembre de 2025 a las 10:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 2:40:00 p.m. UTC-3","bruce willis","https://trends.google.com/trends/explore?q=bruce%20willis&geo=CL&hl=es-419"
